Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0407792536350643,0.0496052423301395,0.0928795656917679,0,0,0,0.12604908910439,0.000156906764758295,2.76735589435069E-22,1.29246970711408E-22,0.000259260220876787,3.55867639585126E-20,0.000156906764758295,0,0,0,0,0,0,package://RoboticArm/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RoboticArm/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
plate,-0.00348181803539307,0.013680039513843,-0.00110146162484924,0,0,0,0.106607057301156,8.49969642300164E-05,7.31708330440521E-06,-1.12161447330865E-06,0.000105425752325564,6.30418300717581E-06,7.44901951900708E-05,0,0,0,0,0,0,package://RoboticArm/meshes/plate.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RoboticArm/meshes/plate.STL,,Waist-1,Origin_base_to_plate,,base_to_plate,fixed,0.040778,-0.092881,0.086108,1.5708,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
arm1,-0.000130107523910544,0.0585900554400583,0.00596879568554673,0,0,0,0.0643926908975187,0.000107038200205104,-1.65200001443648E-09,2.38582116318295E-10,9.10999699360972E-06,2.39606114370457E-07,0.000111844791293225,0,0,0,0,0,0,package://RoboticArm/meshes/arm1.STL,0,0.254901960784314,0.92156862745098,1,0,0,0,0,0,0,package://RoboticArm/meshes/arm1.STL,,Arm 01-1,Origin_plate_to_arm1,Axis_plate_to_arm1,plate_to_arm1,continuous,0,0.040453,-0.013742,1.5708,1.2748,1.5708,plate,0,0,1,,,,,,,,,,,,
arm2,0.000277854090908025,0.0392852834270276,0.012408861309494,0,0,0,0.050268290046773,5.46008476659968E-05,-6.95762442111047E-08,-5.70482612350729E-11,9.28678115786935E-06,-2.8752316699574E-07,5.81489796492489E-05,0,0,0,0,0,0,package://RoboticArm/meshes/arm2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RoboticArm/meshes/arm2.STL,,Arm 02 v3-1,Origin_arm1_to_arm2,Axis_arm1_to_arm2,arm1_to_arm2,continuous,0,0.12,0,3.1416,0,1.7476,arm1,0,0,1,,,,,,,,,,,,
littesupport,0.00504606327647605,0.0330023541981623,-0.00526461247520499,0,0,0,0.0164994591646359,3.91221230465608E-06,1.15010694662439E-08,-3.99730134679921E-09,2.61245500437581E-06,5.75784785342775E-07,5.0223585156069E-06,0,0,0,0,0,0,package://RoboticArm/meshes/littesupport.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RoboticArm/meshes/littesupport.STL,,Arm 03-1,Origin_arm2_to_litte_support,Axis_arm2_to_litte_support,arm2_to_litte_support,continuous,-0.00505,0.076439,0.0125,0,0.17623,0,arm2,0,1,0,,,,,,,,,,,,
littlesupport2,-0.0133733891093217,0.00581676496775496,0.0235511327187966,0,0,0,0.0157213996969813,7.24744416899929E-06,-3.50347180867032E-07,-1.42854822214762E-06,8.11576195233211E-06,-1.36413025460123E-06,2.5604584481162E-06,0,0,0,0,0,0,package://RoboticArm/meshes/littlesupport2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RoboticArm/meshes/littlesupport2.STL,,Gripper Assembly-1/Gripper base-1,Origin_littlesupport_to_littlesupport2,Axis_littlesupport_to_littlesupport2,littlesupport_to_littlesupport2,continuous,0.005,0.043161,0,-0.41033,-1.5708,0.08758,littesupport,1,0,0,,,,,,,,,,,,
geerright,-0.0501100983998741,0.0195,0.00284347811315948,0,0,0,0.00256585966934386,9.68714144297744E-08,-5.62482816536059E-23,4.46722226156503E-08,4.46162551545417E-07,-5.9557004103818E-23,3.56133429567227E-07,0,0,0,0,0,0,package://RoboticArm/meshes/geerright.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RoboticArm/meshes/geerright.STL,,Gripper Assembly-1/gear2-1,Origin_littlesupport2_to_geerright,Axis_littlesupport2_to_geerright,littlesupport2_to_geerright,continuous,-0.0206,0,0,3.1416,1.0844,3.1416,littlesupport2,0.46742,0,-0.88403,,,,,,,,,,,,
grabberr1,0.0132500225891743,0.0533645569241495,-0.0744786360385295,0,0,0,0.00539747492540316,1.7139173615087E-06,1.25016368783866E-11,6.52045109329271E-12,1.59582906541738E-06,3.73412274090843E-07,1.83082846319442E-07,0,0,0,0,0,0,package://RoboticArm/meshes/grabberr1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RoboticArm/meshes/grabberr1.STL,,Gripper Assembly-1/Gripper 1-1,Origin_geerr_to_grabber,Axis_geerr_to_grabber,geerr_to_grabber,continuous,-0.0070176,0,0.013272,0.67604,0,1.5708,geerright,0,0.91776,0.39713,,,,,,,,,,,,
geerleft,0.0474029973313519,0.0194999999999996,-0.00744274420445752,0,0,0,0.00264161328462975,9.00461116469698E-08,5.62482816536059E-23,-9.25740848878218E-09,4.472396674933E-07,6.61744490042422E-24,3.64237857938676E-07,0,0,0,0,0,0,package://RoboticArm/meshes/geerleft.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RoboticArm/meshes/geerleft.STL,,Gripper Assembly-1/gear1-1,Origin_littlesupport2_to_geerleft,Axis_littlesupport2_to_geerleft,littlesupport2_to_geerleft,continuous,-0.0055866,0,0,3.1416,-0.95002,3.1416,littlesupport2,0.58167,0,0.81343,,,,,,,,,,,,
grabberl1,-0.0132499774170393,0.0584441281939657,-0.0731843213818451,0,0,0,0.00539747241029236,1.71391105519726E-06,1.25534085234425E-11,6.53217985819288E-12,1.59582707278213E-06,3.73412926182567E-07,1.83078515204332E-07,0,0,0,0,0,0,package://RoboticArm/meshes/grabberl1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RoboticArm/meshes/grabberl1.STL,,Gripper Assembly-1/Gripper 1-2,Origin_geerleft_to_grabberl,Axis_geerleft_to_grabberl,geerleft_to_grabberl,continuous,0.0021927,0,0.0030663,0.56951,0,-1.5708,geerleft,0,0.92847,0.3714,,,,,,,,,,,,
